[ru-RU]
buttonAccept;Принять
groupBoxUserTruckTruckDetails;Детали
labelCargoMarketCity;Город
labelCargoMarketCompany;Компания
labelCargoMarketSource;Источник
labelCheckUpdatesOnStartup;Проверять наличие Обновлений при запуске
labelCity;город
labelCountry;Страна
labelCurrency;Валюта
labelDayShort;Д
labelDistance;Расстояние
labelDownloadDescription;Вы можете найти последнюю версию на
labelDriverName;Имя:
labelFreightMarketCargo;Груз
labelFreightMarketCity;Город
labelFreightMarketCompany;Компания
labelFreightMarketCompanyF;Компания
labelFreightMarketCountryF;Страна
labelFreightMarketDestination;Назначение
labelFreightMarketDistance;Общая протяжённость:
labelFreightMarketFilterMain;Фильтр
labelFreightMarketSource;Источник
labelFreightMarketTrailer;Прицеп
labelFreightMarketUrgency;Срочность
labelHourShort;ч
labelHowtoDescription;Как пользоваться программой
labelJobPickupTime;Период актуальности груза
labelLicensePlate;Номерной знак
labelLoopEvery;Возвращаться каждый
labelnew;новый
labelNewNameCloning;Имена для новых профилей:
labelNewNameRenaming;Новое имя профиля:
labelold;предыдущий
labelOr;- ИЛИ -
labelor;или
labelProfileName;Название профиля:
labelProfileSkill1;Дальние дистанции
labelProfileSkill2;Дорогостоящий груз
labelProfileSkill3;Хрупкий груз
labelProfileSkill4;Срочные заказы
labelProfileSkill5;Эко-вождение
labelSettings;Настройки
labelShowSplashOnStartup;Показывать Заставку при запуске
labelSupportedGameVersions;Поддерживаемые версии игры
labelTrailerPartNameBody;Кузов
labelTrailerPartNameCargo;Груз
labelTrailerPartNameChassis;Шасси
labelTrailerPartNameWheels;Колёса
labelTruckDetailsFuel;Топливо
labelTruckPartNameCabin;Кабина
labelTruckPartNameChassis;Шасси
labelTruckPartNameEngine;Двигатель
labelTruckPartNameTransmission;Трансмиссия
labelTruckPartNameWheels;Колёса
labelUserCompanyCompanyName;Название компании
labelUserCompanyDrivers;Водители
labelUserCompanyGarages;Гаражи
labelUserCompanyHQcity;Штаб-квартира
labelUserCompanyMoneyAccount;Средства на счету
labelUserCompanyVisitedCities;Посещённые города
labelUserTrailerLicensePlate;Номерной знак
labelUserTruckLicensePlate;Номерной знак
labelVersion;Версия {0} (альфа)
labelWeight;Вес
message_database_created;Структура Базы данных создана.
message_database_missing_creating_db;Файл базы данных не найден. Создание Базы данных...
message_database_missing_creating_db_structure;Файл базы данных не найден. Создание структуры Базы данных...
message_decoding_save_file;Декодирование файла сохранения...
message_exporting_database;Экспорт Базы данных...
message_file_saved;Файл сохранён.
message_importing_database;Импорт Базы данных...
message_loading_save_file;Загрузка файла сохранения...
message_no_matching_cities;Нет элементов, подходящих под фильтр.
message_operation_finished;Задача завершена.
message_preparing_data;Подготовка данных...
message_saving_file;Сохранение файла...
radioButtonProfileFolderType;Папка профиля
radioButtonRootFolderType;Корневая папка
radioButtonSaveFolderType;Папка сохранения
radioButtonUnknownFolderType;Нераспознанный
stringCargoContainer;(Контейнер)
stringDriverShort;В
stringFormAboutBoxtextBoxDescription;Программа создана\r\nLIPtoH <{0}>\r\n{1}\r\n\r\nИнструменты и проекты использованные для создания утилиты:\r\n\r\n
stringKilograms;Килограммы
stringKilometers;Километры
stringKilometersShort;км
stringLarge;Большой
stringMiles;Мили
stringMilesShort;мл
stringNot owned;Не куплен
stringPounds;Фунты
stringSmall;Небольшой
stringTiny;Крошечный
stringTrailerShort;П
stringVehicleShort;Г
stringQuickJobTruckShort;А
stringUsersTruckShort;К
stringInUse;Использует
stringItemMissing;-- Ни одного --
stringBodyType;{0}
stringAxlesCount;Оси - {0}
stringChainType;{0}
tabPageCargoMarket;Биржа грузов
tabPageCompany;Компания
tabPageConvoyTools;Инструменты для конвоя
tabPageDrivers;Водители
tabPageFreightMarket;Прямые перевозки
tabPageGarages;Гаражи
tabPageProfile;Профиль
tabPageTrailer;Прицеп
tabPageTruck;Грузовик
tabPageVisitedCities;Посещённые города
toolStripMenuItemAbout;О программе
toolStripMenuItemCheckUpdates;Проверить наличие обновлений
toolStripMenuItemCreateTrFile;Сохранить Файл для перевода
toolStripMenuItemDownload;Скачать
toolStripMenuItemExit;Выход
toolStripMenuItemHelp;Помощь
toolStripMenuItemLanguage;Перевод
toolStripMenuItemLocalPDF;Локальный PDF файл
toolStripMenuItemProgram;Программа
toolStripMenuItemProgramSettings;Настройки программы
toolStripMenuItemSettings;Настройки
toolStripMenuItemTutorial;Как этим пользоваться...
toolStripMenuItemYouTubeVideo;Видео на YouTube
tooltipbuttonADR0;Взрывчатые материалы
tooltipbuttonADR1;Газы
tooltipbuttonADR2;Легковоспламеняющиеся жидкости
tooltipbuttonADR3;Легковоспламеняющиеся твердые грузы и вещества
tooltipbuttonADR4;Токсичные и инфекционные вещества
tooltipbuttonADR5;Едкие и коррозионные вещества
tooltipbuttonPlayerLevelMaximum;150 уровень
tooltipbuttonPlayerLevelMinimum;0 уровень
tooltipbuttonProfilesAndSavesEditProfile;Управление профилем
tooltipbuttonProfilesAndSavesRefreshAll;Обновить
tooltipbuttonProfilesAndSavesRestoreBackup;Восстановить из бэкапа
tooltipbuttonSkill;{0} уровень
tooltipbuttonTrailerElRepair;Ремонт этой части
tooltipbuttonTrailerLicensePlateEdit;Изменить номерной знак
tooltipbuttonTrailerRepair;Ремонт всего трейлера
tooltipbuttonTruckElRepair;Ремонт этой части
tooltipbuttonTruckLicensePlateEdit;Изменить номерной знак
tooltipbuttonTruckReFuel;Заправить
tooltipbuttonTruckRepair;Ремонт всего грузовика
tooltipbuttonUserCompanyGaragesManage;Управление
tooltipcomboBoxPrevProfiles;[L] - Локальные сохранения\r\n[S] - Steam (только загрузка)\r\n[C] - Пользовательские
tooltiplabelJobPickupTime;То, сколько времени груз будет виден в заказах\r\n(Добавляется для каждого груза)
tooltipprofileSkillsPanel1;Дальние дистанции
tooltipprofileSkillsPanel2;Дорогостоящий груз
tooltipprofileSkillsPanel3;Хрупкий груз
tooltipprofileSkillsPanel4;Срочные заказы
tooltipprofileSkillsPanel5;Эко-вождение
panelShareColorsHelpDragDrop;Используя [Перетаскивание] перемещайте плашки [По одной] или [Группой] на палитру.
buttonUserCompanyGaragesSelectAll;Выбрать все
buttonUserCompanyGaragesUnSelectAll;Снять выбор
buttonUserCompanyDriversSelectAll;Выбрать все
buttonUserCompanyDriversUnSelectAll;Снять выбор
buttonUserCompanyCitiesSelectAll;Выбрать все
buttonUserCompanyCitiesUnSelectAll;Снять выбор
