[nl-NL]
buttonAddCustomPath;Toevoegen
labelUserCompanyCompanyName;Bedrijfsnaam
labelUserCompanyHQcity;HQ Stad
labelUserCompanyMoneyAccount;Bankrekening
labelUserCompanyVisitedCities;Bezochte steden
labelUserTrailerLicensePlate;Kentekenplaat
labelUserTruckLicensePlate;Kentekenplaat
labelVersion;Versie {0} (alpha)
message_database_created;Databasestructuur gemaakt.
message_database_missing_creating_db;Databasebestand niet aanwezig. Database aanmaken...
message_database_missing_creating_db_structure;Databasebestand is niet aanwezig. Databasestructuur aanmaken...
message_decoding_save_file;Opslagbestand decoderen...
message_exporting_database;DataBase exporteren...
message_file_saved;Bestand opgeslagen.
message_importing_database;DataBase importeren...
message_loading_save_file;Opslagbestand laden...
message_no_matching_cities;Geen steden gevonden met filterinstellingen.
message_operation_finished;Taak volbracht.
message_preparing_data;Data voorbereiden...
message_saving_file;Bestand opslaan...
radioButtonProfileFolderType;Profielmap
radioButtonRootFolderType;Root map
radioButtonSaveFolderType;Opslagmap
radioButtonUnknownFolderType;Onbekend
stringKilometers;Kilometers
stringLarge;Groot
stringMiles;Mijl
stringNot owned;Niet in bezit
stringSmall;Klein
stringTiny;Minuscuul
tabPageCargoMarket;Ladingmarkt
tabPageCompany;Bedrijf
tabPageConvoyTools;Konvooien
tabPageFreightMarket;Vrachtencentrum
tabPageProfile;Profiel
toolStripMenuItemAbout;Over
toolStripMenuItemCreateTrFile;Maak vertaling
toolStripMenuItemExit;Afsluiten
toolStripMenuItemLanguage;Taal
toolStripMenuItemProgram;Programma
toolStripMenuItemSettings;Instellingen
tooltipbuttonProfilesAndSavesRefreshAll;Verversen
