[ko-KR]
buttonAccept;수락
labelVersion;버전 {0} (알파)
labelWeight;중량
message_database_created;데이터베이스 구조가 생성.
message_database_missing_creating_db;데이터베이스 파일이 없습니다. 데이터베이스 생성...
message_database_missing_creating_db_structure;데이터베이스 파일이 없습니다. 데이터베이스 구조 생성...
message_decoding_save_file;세이브 파일 디코딩...
message_exporting_database;데이터베이스 내보내기...
message_file_saved;파일 저장.
message_importing_database;데이터베이스 불러오기...
message_loading_save_file;세이브파일 불러오기...
message_no_matching_cities;필터 설정과 일치하는 도시가 없습니다..
message_operation_finished;작업 완료.
message_preparing_data;데이터 준비...
message_saving_file;파일 저장...
radioButtonProfileFolderType;프로필 폴더
radioButtonRootFolderType;루트 폴더
radioButtonSaveFolderType;저장 폴더
radioButtonUnknownFolderType;알려지지 않음
stringCargoContainer;(Container)
stringDriverShort;D
stringKilograms;kg
stringKilometers;Km
stringKilometersShort;km
stringLarge;대형
stringMiles;mile
stringMilesShort;mi
stringNot owned;소유 안함
stringPounds;lb
stringSmall;소형
stringTiny;초소형
stringTrailerShort;T
stringVehicleShort;V
tabPageCargoMarket;화물 시장
tabPageCompany;회사
tabPageConvoyTools;콘보이 툴
tabPageFreightMarket;배송 시장
tabPageProfile;프로필
tabPageTrailer;트레일러
tabPageTruck;트럭
toolStripMenuItemAbout;정보
toolStripMenuItemCheckUpdates;업데이트 확인
toolStripMenuItemCreateTrFile;번역 만들기
toolStripMenuItemDownload;다운로드
toolStripMenuItemExit;닫기
toolStripMenuItemHelp;도움말
toolStripMenuItemLanguage;언어
toolStripMenuItemLocalPDF;로컬 PDF 파일
toolStripMenuItemProgram;프로그램
toolStripMenuItemProgramSettings;프로그램 설정
toolStripMenuItemSettings;설정
toolStripMenuItemTutorial;사용 방법
toolStripMenuItemYouTubeVideo;YouTube 영상
tooltipbuttonADR0;폭발물
tooltipbuttonADR1;가스
tooltipbuttonADR2;가연성 액체
tooltipbuttonADR3;가연성 고체
tooltipbuttonADR4;독성 및 전염성 물질
tooltipbuttonADR5;부식성 물질
tooltipbuttonPlayerLevelMaximum;150 레벨
tooltipbuttonPlayerLevelMinimum;0 레벨
tooltipbuttonProfilesAndSavesEditProfile;프로필 매니저
tooltipbuttonProfilesAndSavesRefreshAll;새로고침
tooltipbuttonProfilesAndSavesRestoreBackup;백업에서 복원
tooltipbuttonSkill;{0} 레벨
tooltipbuttonTrailerElRepair;이 부분 수리
tooltipbuttonTrailerLicensePlateEdit;번호판 수정
tooltipbuttonTrailerRepair;전체 트레일러 수리
tooltipbuttonTruckElRepair;이 부분 수리
tooltipbuttonTruckLicensePlateEdit;번호판 수정
tooltipbuttonTruckReFuel;트럭 연료 보급
tooltipbuttonTruckRepair;전체 트럭 수리
tooltipbuttonUserCompanyGaragesManage;매니저
tooltipcomboBoxPrevProfiles;[L] - 로컬 저장\r\n[S] - 스팀 (불러오기 전용)\r\n[C] - 커스텀
tooltiplabelJobPickupTime;화물이 시장에서 사라질 때까지 시간\r\n(모든 화물에 추가)
tooltipprofileSkillsPanel0;ADR
tooltipprofileSkillsPanel1;장거리
tooltipprofileSkillsPanel2;고부가가치 화물
tooltipprofileSkillsPanel3;깨지기 쉬운 화물
tooltipprofileSkillsPanel4;정시 배송
tooltipprofileSkillsPanel5;연비 운전
