[Default]
a_coruna;A Coruña
phoenix;Phoenix
piatra;Perth
pila;Piła
pioche;Pioche
pirdop;Pirdop
pitesti;Pitești
pleven;Pleven
ploce;Ploče
plock;Płock
plovdiv;Plovdiv
plymouth;Plymouth
ponte_de_sor;Ponte de Sor
pori;Pori
port_sagunt;Port de Sagunt
porthmadog;Porthmadog
portland;Portland
porto;Porto
porto_vecchi;Porto-Vecchio
portree;Portree
portsmouth;Portsmouth
poznan;Poznań
prague;Praha
prilep;Prilep
primm;Primm
przemysl;Przemyśl
pskov;Pskov
ptolemaida;Ptolemaida
puertollano;Puertollano
radom;Radom
ramsey;Ramsey
raton;Raton
redding;Redding
reims;Reims
rennes;Rennes
reno;Reno
resita;Reșița
reutte;Reutte
reydar;Reyðarfjörður
reykjavik;Reykjavík
rezekne;Rēzekne
riga;Rīga
rijeka;Rijeka
roadworks_a7;A7 Roadworks
roma;Roma
ronne;Rønne
roscoff;Roscoff
rostock;Rostock
roswell;Roswell
rotterdam;Rotterdam
rovaniemi;Rovaniemi
ruse;Ruse
rzeszow;Rzeszów
sacramento;Sacramento
salamanca;Salamanca
salem;Salem
salzburg;Salzburg
san_diego;San Diego
san_francisc;San Francisco
san_rafael;San Rafael
san_simon;San Simon
sangerhausen;Sangerhausen
sangiovanni;Villa San Giovanni
sanok;Sanok
santa_cruz;Santa Cruz
santa_fe;Santa Fe
santa_maria;Santa Maria
santander;Santander
sassari;Sassari
selfoss;Selfoss
senj;Senj
setubal;Setúbal
sevilla;Seville
seydis;Seyðisfjörður
sheffield;Sheffield
show_low;Show Low
siauliai;Šiauliai
sibenik2;Šibenik
sibenik;Šibenik
sibiu;Sibiu
siedlce;Siedlce
sierra_vista;Sierra Vista
sines;Sines
skelleftea;Skellefteå
skopje;Skopje
slbrod;Skopje
sligo;Sligo
socorro;Socorro
sodankyla;Sodankylä
soderhamn;Söderhamn
sodertalje;Södertälje
sofia;Sofia
soria;Soria
sosnovy_bor;Sosnovy Bor
southampton;Southampton
split;Split
stargard;Stargard
stavanger;Stavanger
sthelier;Saint Helier
stockholm;Stockholm
stockton;Stockton
stornoway;Stornoway
stranraer;Stranraer
strasbourg;Strasbourg
strzelcekraj;Strzelce Krajeńskie
stuttgart;Stuttgart
subotica;Subotica
sundsvall;Sundsvall
suwalki;Suwałki
suzzara;Suzzara
svalsateast;Svalbard Eastern Satellite station
svalsatwest;Svalbard Eastern Satellite station
swansea;Swansea
swinoujscie;Świnoujście
szczecin;Szczecin
szeged;Szeged
tallinn;Tallinn
tampere;Tampere
tanabru;Tana Bru
taranto;Taranto
targu_mures;Târgu Mureș
tarragona;Tarragona
tartu;Tartu
tekirdag;Tekirdağ
terni;Terni
teruel;Teruel
the_dalles;The Dalles
thessaloniki;Thessaloniki
thurso;Thurso
timisoara;Timişoara
tonopah;Tonopah
torino;Torino
tornio;Tornio
torshavn;Tórshavn
toulouse;Toulouse
travemunde;Travemünde
trelleborg;Trelleborg
trieste;Trieste
trinity;Trinity
trnava;Trnava
trondheim;Trondheim
truckee;Truckee
truckstope45;Haverslev
tucson;Tucson
tucumcari;Tucumcari
turku;Turku
uelzen;Uelzen
ukiah;Ukiah
ukmerge;Ukmergė
ullapool;Ullapool
ulm;Ulm
umea;Umeå
uppsala;Uppsala
utena;Utena
utsjoki;Utsjoki
uzhhorod;Uzhhorod
vaasa;Vaasa
vaduz;Vaduz
valencia;Valencia
valladolid;Valladolid
valmiera;Valmiera
vandellos;Vandellòs
vantaa;Vantaa
varkaus;Varkaus
varna;Varna
vasaros;Vásárosnamény
vasteraas;Västerås
vaxjo;Växjö
veli_tarnovo;Veliko Tarnovo
venezia;Venezia
ventspils;Ventspils
verkhnetulom;Verkhnetulomsky
verona;Verona
vestmann;Vestmannaeyjar
viborg;Viborg
vidin;Vidin
vigo;Vigo
viitasaari;Viitasaari
vik;Vík í Mýrdal
villarreal;Villarreal
vilnius;Vilnius
vinaros;Vinaròs
visby;Visby
vranje;Vranje
vyborg;Vyborg
walcz;Wałcz
warszawa;Warszawa
werlte;Werlte
wexford;Wexford
wick;Wick
wien;Wien
wiesbaden;Wiesbaden
winnemucca;Winnemucca
wroclaw;Wrocław
ystad;Ystad
yuma;Yuma
zadar;Zadar
zagreb;Zagreb
zamosc;Zamość
zaragoza;Zaragoza
zgierz;Zgierz
zgorzelec;Zgorzelec
zrenjanin;Zrenjanin
zurich;Zürich
zuta2;Žuta Lokva
zuta;Žuta Lokva
zwolle;Zwolle
