[Default]
buttonAccept;Accept
checkBoxProfilesAndSavesProfileBackups;Backups
contextMenuStripCompanyDriversEdit;Edit
contextMenuStripCompanyDriversFire;Fire
contextMenuStripCompanyDriversHire;Hire
contextMenuStripFreightMarketJobListDelete;Delete
contextMenuStripFreightMarketJobListEdit;Edit
dialogCaptionNoBackwardCompatibility;No Backward Compatibility
dialogCaptionUnsupportedVersion;Untested savefile version
dialogTextNoBackwardCompatibility;Savefile version {0} is too OLD.\r\nThis version of the program is not able to work with it.\r\n(You can decrypt save file and manually edit it at any time)
dialogTextUnsupportedVersion;Savefile version {0} was NOT TESTED.\r\nYou can proceed, but it can DAMAGE savefile AFTER SAVING.\r\nPlease use MANUAL SAVES instead of autosaves in this case!\r\n\r\nDo you want to try and LOAD THIS savefile?
error_could_not_complete_jobs_loop;Could not complete jobs loop
error_could_not_decode_file;Program was unable to decode file
error_could_not_find_file;Program was unable to find file
error_could_not_write_to_file;Program was unable to write to file
error_during_importing_db;Error during importing DataBase
error_exception;Program exception
error_file_not_decoded;File not decoded
error_file_was_modified;File was modified by the game
error_job_parameters_not_filled;Not all job parameters are filled
error_save_version_not_detected;Save file version was not detected
error_sql_exception;DataBase exception
FormAboutBox;About {0}
FormAddCustomFolder;Edit Custom folders
FormAIDriverEditor;Driver editor
FormColorPicker;Colour picker
FormLicensePlateEdit;License Plate Editor
FormProfileEditor;Profile manager
FormProfileEditorRenameCloneCloning;Cloning
FormProfileEditorRenameCloneRenaming;Renaming
FormProfileEditorSettingsImportExportExporting;Exporting from {0}
FormProfileEditorSettingsImportExportImporting;Importing to {0}
FormProgramSettings;Program Settings
FormSettings;Settings
FormShareUserColors;Share User colors
FormVehicleEditor;Vehicle Editor
groupBoxDataBase;Database
groupBoxDriverSkill;Skills
groupBoxFolderType;Folder type
groupBoxGameType;Game
groupBoxImportedColors;Imported colors
groupBoxMainProfilesAndSaves;Profiles And Saves
groupBoxOptions;Options
groupBoxProfilePlayerLevel;Player level
groupBoxProfileSkill;Skills
groupBoxProfileUserColors;User colors
groupBoxProfileUserColorsShort;User colors
groupBoxSelectFileExporting;Pack into .zip file
groupBoxSelectFileImporting;Form .zip file
groupBoxTargetProfileExporting;Put into ...
groupBoxTargetProfileImporting;Grab from ...
groupBoxUserTrailerShareTrailerSettings;Share Trailer Settings
groupBoxUserTrailerTrailer;Trailer
groupBoxUserTrailerTrailerDetails;Details
groupBoxUserTruckShareTruckSettings;Share Truck Settings
groupBoxUserTruckTruck;Truck
groupBoxUserTruckTruckDetails;Details
labelCargoMarketCity;City
labelCargoMarketCompany;Company
labelCargoMarketSource;Source
labelCheckUpdatesOnStartup;Check updates on startup
labelCity;city
labelCountry;Country
labelCurrency;Currency
labelDayShort;D
labelDistance;Distance
labelDownloadDescription;You can download latest version from
labelDriverName;Driver name:
labelFreightMarketCargo;Cargo
labelFreightMarketCity;City
labelFreightMarketCompany;Company
labelFreightMarketCompanyF;Company
labelFreightMarketCountryF;Country
labelFreightMarketDestination;Destination
labelFreightMarketDistance;Total path length:
labelFreightMarketFilterMain;Filter
labelFreightMarketSource;Source
labelFreightMarketTrailer;Trailer
labelFreightMarketUrgency;Urgency
labelHourShort;h
labelHowtoDescription;How to use it
labelJobPickupTime;Cargo relevance time
labelLicensePlate;License plate
labelLoopEvery;Loop every
labelnew;new
labelNewNameCloning;Name(s) for cloned profile(s):
labelNewNameRenaming;New profile name:
labelold;old
labelOr;- OR -
labelor;or
labelProfileName;Profile name:
labelProfileSkill0;ADR
labelProfileSkill1;Long Distance
labelProfileSkill2;High Value Cargo
labelProfileSkill3;Fragile Cargo
labelProfileSkill4;Just-In-Time Delivery
labelProfileSkill5;Ecodriving
labelSettings;Settings
labelShowSplashOnStartup;Show splash screen on startup
labelSupportedGameVersions;Supported game versions
labelTrailerPartNameBody;Body
labelTrailerPartNameCargo;Cargo
labelTrailerPartNameChassis;Chassis
labelTrailerPartNameWheels;Wheels
labelTruckDetailsFuel;Fuel
labelTruckPartNameCabin;Cabin
labelTruckPartNameChassis;Chassis
labelTruckPartNameEngine;Engine
labelTruckPartNameTransmission;Transmission
labelTruckPartNameWheels;Wheels
labelUserCompanyCompanyName;Company name
labelUserCompanyDrivers;Drivers
labelUserCompanyGarages;Garages
labelUserCompanyHQcity;HQ city
labelUserCompanyMoneyAccount;Account money
labelUserCompanyVisitedCities;Visited cities
labelUserTrailerLicensePlate;Licence plate
labelUserTruckLicensePlate;Licence plate
labelVersion;Version {0} (alpha)
labelWeight;Weight
message_database_created;Database structure created.
message_database_missing_creating_db;Database file is missing. Creating Database...
message_database_missing_creating_db_structure;Database file is missing. Creating Database structure...
message_decoding_save_file;Decoding save file...
message_exporting_database;Exporting DataBase...
message_file_saved;File saved.
message_importing_database;Importing DataBase...
message_loading_save_file;Loading save file...
message_no_matching_cities;No Cities matching filter settings.
message_operation_finished;Task complete.
message_preparing_data;Preparing data...
message_saving_file;Saving file...
radioButtonProfileFolderType;Profile folder
radioButtonRootFolderType;Root folder
radioButtonSaveFolderType;Save folder
radioButtonUnknownFolderType;Unknown
stringCargoContainer;(Container)
stringDriverShort;D
stringFormAboutBoxtextBoxDescription;This program created by\r\nLIPtoH <{0}>\r\n{1}\r\n\r\nTools and projects used to create this tool:\r\n\r\n
stringKilograms;Kilograms
stringKilometers;Kilometers
stringKilometersShort;km
stringLarge;Large
stringMiles;Miles
stringMilesShort;mi
stringNot owned;Not owned
stringPounds;Pounds
stringSmall;Small
stringTiny;Tiny
stringTrailerShort;T
stringVehicleShort;V
stringQuickJobTruckShort;Q
stringUsersTruckShort;U
stringInUse;In use
stringItemMissing;-- NONE --
stringBodyType;{0}
stringAxlesCount;Axles - {0}
stringChainType;{0}
tabPageCargoMarket;Cargo Market
tabPageCompany;Company
tabPageConvoyTools;Convoy Tools
tabPageDrivers;Drivers
tabPageFreightMarket;Freight Market
tabPageGarages;Garages
tabPageProfile;Profile
tabPageTrailer;Trailer
tabPageTruck;Truck
tabPageVisitedCities;Visited cities
toolStripMenuItemAbout;About
toolStripMenuItemCheckUpdates;Check for updates
toolStripMenuItemCreateTrFile;Make translation
toolStripMenuItemDownload;Download
toolStripMenuItemExit;Exit
toolStripMenuItemHelp;Help
toolStripMenuItemLanguage;Language
toolStripMenuItemLocalPDF;Local PDF file
toolStripMenuItemProgram;Program
toolStripMenuItemProgramSettings;Program settings
toolStripMenuItemSettings;Settings
toolStripMenuItemTutorial;How to use it
toolStripMenuItemYouTubeVideo;YouTube Video
tooltipbuttonADR0;Explosives
tooltipbuttonADR1;Gases
tooltipbuttonADR2;Flammable liquids
tooltipbuttonADR3;Flammable solids
tooltipbuttonADR4;Toxic and infectious substances
tooltipbuttonADR5;Corrosive substances
tooltipbuttonPlayerLevelMaximum;150 level
tooltipbuttonPlayerLevelMinimum;0 level
tooltipbuttonProfilesAndSavesEditProfile;Profile manager
tooltipbuttonProfilesAndSavesRefreshAll;Refresh
tooltipbuttonProfilesAndSavesRestoreBackup;Restore from Backup
tooltipbuttonSkill;{0} level
tooltipbuttonTrailerElRepair;Repair this part
tooltipbuttonTrailerLicensePlateEdit;Edit License plate
tooltipbuttonTrailerRepair;Repair whole trailer
tooltipbuttonTruckElRepair;Repair this part
tooltipbuttonTruckLicensePlateEdit;Edit License plate
tooltipbuttonTruckReFuel;Refuel truck
tooltipbuttonTruckRepair;Repair whole truck
tooltipbuttonUserCompanyGaragesManage;Manage
tooltipcomboBoxPrevProfiles;[L] - Local saves\r\n[S] - Steam (only load)\r\n[C] - Custom
tooltiplabelJobPickupTime;How much time till cargo will disapeare from market\r\n(adds for every cargo)
tooltipprofileSkillsPanel0;ADR
tooltipprofileSkillsPanel1;Long Distance
tooltipprofileSkillsPanel2;High Value Cargo
tooltipprofileSkillsPanel3;Fragile Cargo
tooltipprofileSkillsPanel4;Just-In-Time Delivery
tooltipprofileSkillsPanel5;Ecodriving
panelShareColorsHelpDragDrop;Use [Drag & Drop] to move imported colors [One by one] or as a [Group] into the palette.
buttonUserCompanyGaragesSelectAll;Select All
buttonUserCompanyGaragesUnSelectAll;Unselect All
buttonUserCompanyDriversSelectAll;Select All
buttonUserCompanyDriversUnSelectAll;Unselect All
buttonUserCompanyCitiesSelectAll;Select All
buttonUserCompanyCitiesUnSelectAll;Unselect All
